"Neue Gebäude mit Wohnungen 1970 - 1979; ohne An-, Auf-, Umbautätigkeit (Wohnbaustatistik)"
"Werte: Anzahl Gebäude"
"Schicht: "
"Felder: Zeit nach Werte und Bewilligung bzw. Fertigstellung <2> "
"Filter: "

"Werte";"Anzahl Gebäude";
"Bewilligung bzw. Fertigstellung <2>";"Fertigstellung";
"Zeit";
"1970";"17.926";
"1971";"18.000";
"1972";"19.060";
"1973";"18.583";
"1974";"19.186";
"1975";"19.645";
"1976";"18.323";
"1977";"18.996";
"1978";"20.417";
"1979";"21.349";

"Footnotes"





