code;name;;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
197311;Nov.73;;Nov.73;;;;;;
197312;Dez.73;;Dec. 1973;;;;;;
197401;Jän.74;;Jan. 1974;;;;;;
197402;Feb.74;;Feb.74;;;;;;
197403;Mär.74;;Mar. 1974;;;;;;
197404;Apr.74;;Apr.74;;;;;;
197405;Mai.74;;May 1974;;;;;;
197406;Jun.74;;June 1974;;;;;;
197407;Jul.74;;July 1974;;;;;;
197408;Aug.74;;Aug.74;;;;;;
197409;Sep.74;;Sep.74;;;;;;
197410;Okt.74;;Oct. 1974;;;;;;
197411;Nov.74;;Nov.74;;;;;;
197412;Dez.74;;Dec. 1974;;;;;;
197501;Jän.75;;Jan. 1975;;;;;;
197502;Feb.75;;Feb.75;;;;;;
197503;Mär.75;;Mar. 1975;;;;;;
197504;Apr.75;;Apr.75;;;;;;
197505;Mai.75;;May 1975;;;;;;
197506;Jun.75;;June 1975;;;;;;
197507;Jul.75;;July 1975;;;;;;
197508;Aug.75;;Aug.75;;;;;;
197509;Sep.75;;Sep.75;;;;;;
197510;Okt.75;;Oct. 1975;;;;;;
197511;Nov.75;;Nov.75;;;;;;
197512;Dez.75;;Dec. 1975;;;;;;
197601;Jän.76;;Jan. 1976;;;;;;
197602;Feb.76;;Feb.76;;;;;;
197603;Mär.76;;Mar. 1976;;;;;;
197604;Apr.76;;Apr.76;;;;;;
197605;Mai.76;;May 1976;;;;;;
197606;Jun.76;;June 1976;;;;;;
197607;Jul.76;;July 1976;;;;;;
197608;Aug.76;;Aug.76;;;;;;
197609;Sep.76;;Sep.76;;;;;;
197610;Okt.76;;Oct. 1976;;;;;;
197611;Nov.76;;Nov.76;;;;;;
197612;Dez.76;;Dec. 1976;;;;;;
197701;Jän.77;;Jan. 1977;;;;;;
197702;Feb.77;;Feb.77;;;;;;
197703;Mär.77;;Mar. 1977;;;;;;
197704;Apr.77;;Apr.77;;;;;;
197705;Mai.77;;May 1977;;;;;;
197706;Jun.77;;June 1977;;;;;;
197707;Jul.77;;July 1977;;;;;;
197708;Aug.77;;Aug.77;;;;;;
197709;Sep.77;;Sep.77;;;;;;
197710;Okt.77;;Oct. 1977;;;;;;
197711;Nov.77;;Nov.77;;;;;;
197712;Dez.77;;Dec. 1977;;;;;;
197801;Jän.78;;Jan. 1978;;;;;;
197802;Feb.78;;Feb.78;;;;;;
197803;Mär.78;;Mar. 1978;;;;;;
197804;Apr.78;;Apr.78;;;;;;
197805;Mai.78;;May 1978;;;;;;
197806;Jun.78;;June 1978;;;;;;
197807;Jul.78;;July 1978;;;;;;
197808;Aug.78;;Aug.78;;;;;;
197809;Sep.78;;Sep.78;;;;;;
