NUTS2;YEAR;SEX;RANKING_REF_YEAR;GIVEN_NAME;NUMBER
AT31;2004;1;1;Lukas;230
AT31;2004;1;2;Tobias;227
AT31;2004;1;3;Florian;206
AT31;2004;1;4;Simon;194
AT31;2004;1;5;David;163
AT31;2004;1;6;Michael;160
AT31;2004;1;7;Jonas;157
AT31;2004;1;8;Julian;155
AT31;2004;1;9;Jakob;153
AT31;2004;1;10;Fabian;143
AT31;2004;1;11;Alexander;136
AT31;2004;1;12;Philipp;124
AT31;2004;1;13;Felix;123
AT31;2004;1;13;Sebastian;123
AT31;2004;1;15;Paul;115
AT31;2004;1;16;Daniel;114
AT31;2004;1;17;Niklas;107
AT31;2004;1;18;Maximilian;105
AT31;2004;1;19;Manuel;101
AT31;2004;1;20;Marcel;100
AT31;2004;1;21;Elias;97
AT31;2004;1;21;Moritz;97
AT31;2004;1;23;Matthias;90
AT31;2004;1;24;Dominik;87
AT31;2004;1;25;Stefan;85
AT31;2004;1;26;Thomas;83
AT31;2004;1;27;Nico;73
AT31;2004;1;28;Jan;68
AT31;2004;1;29;Andreas;65
AT31;2004;1;29;Markus;65
AT31;2004;1;31;Raphael;63
AT31;2004;1;31;Samuel;63
AT31;2004;1;33;Johannes;60
AT31;2004;1;34;Martin;58
AT31;2004;1;35;Christoph;56
AT31;2004;1;35;Marco;56
AT31;2004;1;37;Kevin;55
AT31;2004;1;37;Leon;55
AT31;2004;1;39;Patrick;54
AT31;2004;1;40;Gabriel;51
AT31;2004;1;41;Benjamin;49
AT31;2004;1;42;Lorenz;47
AT31;2004;1;43;Christian;42
AT31;2004;1;44;Erik;40
AT31;2004;1;45;Valentin;38
AT31;2004;1;46;Luca;37
AT31;2004;1;47;Noah;36
AT31;2004;1;48;Kilian;35
AT31;2004;1;49;Pascal;34
AT31;2004;1;49;Rene;34
AT31;2004;1;51;Clemens;30
AT31;2004;1;51;Oliver;30
AT31;2004;1;53;Marvin;29
AT31;2004;1;54;Benedikt;27
AT31;2004;1;55;Georg;25
AT31;2004;1;55;Mario;25
AT31;2004;1;55;Yannick;25
AT31;2004;1;58;Tim;24
AT31;2004;1;58;Timo;24
AT31;2004;1;60;Adrian;23
AT31;2004;2;1;Leonie;183
AT31;2004;2;2;Anna;181
AT31;2004;2;3;Julia;180
AT31;2004;2;4;Sarah;173
AT31;2004;2;5;Lena;151
AT31;2004;2;6;Hannah;134
AT31;2004;2;7;Lisa;129
AT31;2004;2;8;Laura;128
AT31;2004;2;9;Lea;118
AT31;2004;2;10;Sophie;115
AT31;2004;2;11;Katharina;106
AT31;2004;2;11;Magdalena;106
AT31;2004;2;13;Jana;103
AT31;2004;2;14;Viktoria;101
AT31;2004;2;15;Lara;95
AT31;2004;2;16;Vanessa;89
AT31;2004;2;17;Elena;88
AT31;2004;2;18;Marlene;75
AT31;2004;2;19;Nina;72
AT31;2004;2;20;Selina;70
AT31;2004;2;21;Jasmin;69
AT31;2004;2;21;Johanna;69
AT31;2004;2;23;Christina;61
AT31;2004;2;24;Verena;55
AT31;2004;2;25;Eva;54
AT31;2004;2;25;Theresa;54
AT31;2004;2;27;Alina;51
AT31;2004;2;27;Nadine;51
AT31;2004;2;29;Elisa;50
AT31;2004;2;30;Emma;49
AT31;2004;2;30;Melanie;49
AT31;2004;2;32;Marie;45
AT31;2004;2;32;Stefanie;45
AT31;2004;2;34;Elisabeth;39
AT31;2004;2;35;Helene;38
AT31;2004;2;35;Sophia;38
AT31;2004;2;35;Valentina;38
AT31;2004;2;38;Anja;37
AT31;2004;2;38;Maria;37
AT31;2004;2;40;Michelle;36
AT31;2004;2;41;Celina;35
AT31;2004;2;42;Franziska;34
AT31;2004;2;42;Miriam;34
AT31;2004;2;44;Katrin;32
AT31;2004;2;44;Larissa;32
AT31;2004;2;44;Nicole;32
AT31;2004;2;47;Alexandra;31
AT31;2004;2;47;Helena;31
AT31;2004;2;49;Natalie;30
AT31;2004;2;50;Clara;29
AT31;2004;2;51;Carina;28
AT31;2004;2;52;Antonia;27
AT31;2004;2;52;Pia;27
AT31;2004;2;54;Emily;26
AT31;2004;2;54;Jennifer;26
AT31;2004;2;54;Tamara;26
AT31;2004;2;57;Angelina;25
AT31;2004;2;57;Simone;25
AT31;2004;2;59;Anna-Lena;23
AT31;2004;2;59;Isabella;23
AT31;2005;1;1;Lukas;256
AT31;2005;1;2;Tobias;211
AT31;2005;1;3;Simon;174
AT31;2005;1;4;Florian;167
AT31;2005;1;5;David;161
AT31;2005;1;6;Alexander;154
AT31;2005;1;7;Michael;149
AT31;2005;1;8;Fabian;144
AT31;2005;1;8;Paul;144
AT31;2005;1;10;Sebastian;134
AT31;2005;1;11;Julian;133
AT31;2005;1;12;Jakob;132
AT31;2005;1;12;Jonas;132
AT31;2005;1;14;Felix;126
AT31;2005;1;15;Elias;119
AT31;2005;1;16;Daniel;112
AT31;2005;1;17;Moritz;102
AT31;2005;1;18;Maximilian;100
AT31;2005;1;19;Philipp;89
AT31;2005;1;19;Raphael;89
AT31;2005;1;21;Niklas;88
AT31;2005;1;22;Manuel;83
AT31;2005;1;22;Marcel;83
AT31;2005;1;22;Nico;83
AT31;2005;1;25;Dominik;81
AT31;2005;1;26;Leon;76
AT31;2005;1;27;Matthias;75
AT31;2005;1;28;Thomas;74
AT31;2005;1;29;Stefan;73
AT31;2005;1;30;Samuel;58
AT31;2005;1;31;Andreas;57
AT31;2005;1;32;Benjamin;54
AT31;2005;1;32;Jan;54
AT31;2005;1;34;Martin;53
AT31;2005;1;35;Christoph;52
AT31;2005;1;36;Johannes;50
AT31;2005;1;37;Lorenz;48
AT31;2005;1;37;Marco;48
AT31;2005;1;39;Luca;47
AT31;2005;1;40;Kevin;42
AT31;2005;1;40;Markus;42
AT31;2005;1;42;Noah;37
AT31;2005;1;43;Benedikt;36
AT31;2005;1;43;Christian;36
AT31;2005;1;43;Clemens;36
AT31;2005;1;46;Kilian;35
AT31;2005;1;46;Patrick;35
AT31;2005;1;48;Gabriel;33
AT31;2005;1;48;Pascal;33
AT31;2005;1;50;Oliver;32
AT31;2005;1;51;Tim;31
AT31;2005;1;52;Valentin;28
AT31;2005;1;53;Erik;27
AT31;2005;1;53;Jonathan;27
AT31;2005;1;53;Timo;27
AT31;2005;1;56;Rene;26
AT31;2005;1;57;Adrian;23
AT31;2005;1;57;Mario;23
AT31;2005;1;57;Peter;23
AT31;2005;1;60;Gregor;22
AT31;2005;2;1;Leonie;195
AT31;2005;2;2;Lena;192
AT31;2005;2;3;Anna;168
AT31;2005;2;4;Sarah;166
AT31;2005;2;5;Julia;147
AT31;2005;2;6;Hannah;137
AT31;2005;2;7;Laura;122
AT31;2005;2;8;Lisa;113
AT31;2005;2;8;Sophie;113
AT31;2005;2;10;Lea;103
AT31;2005;2;11;Lara;98
AT31;2005;2;12;Viktoria;96
AT31;2005;2;13;Jana;95
AT31;2005;2;14;Katharina;94
AT31;2005;2;15;Marlene;81
AT31;2005;2;16;Magdalena;76
AT31;2005;2;17;Elena;75
AT31;2005;2;18;Selina;73
AT31;2005;2;19;Johanna;72
AT31;2005;2;20;Theresa;68
AT31;2005;2;21;Eva;66
AT31;2005;2;22;Nina;64
AT31;2005;2;23;Emma;61
AT31;2005;2;24;Emily;57
AT31;2005;2;25;Miriam;53
AT31;2005;2;26;Alina;51
AT31;2005;2;27;Marie;49
AT31;2005;2;28;Vanessa;47
AT31;2005;2;29;Amelie;45
AT31;2005;2;29;Stefanie;45
AT31;2005;2;29;Verena;45
AT31;2005;2;32;Elisa;44
AT31;2005;2;33;Anja;43
AT31;2005;2;33;Clara;43
AT31;2005;2;35;Jasmin;42
AT31;2005;2;36;Michelle;41
AT31;2005;2;37;Christina;40
AT31;2005;2;37;Sophia;40
AT31;2005;2;39;Melanie;39
AT31;2005;2;40;Carina;38
AT31;2005;2;41;Valentina;34
AT31;2005;2;42;Elisabeth;33
AT31;2005;2;43;Angelina;32
AT31;2005;2;44;Helena;31
AT31;2005;2;45;Chiara;30
AT31;2005;2;45;Emely;30
AT31;2005;2;47;Franziska;29
AT31;2005;2;47;Nadine;29
AT31;2005;2;47;Pia;29
